Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
3,-,4,0,0,75.00,4,caught,1,,v Sri Lanka,Singapore,3 Apr 1996,ODI # 1089
4,-,7,0,0,57.14,4,run out,1,,v Pakistan,Singapore,5 Apr 1996,ODI # 1091
3,-,5,0,0,60.00,5,caught,2,,v Pakistan,Sharjah,12 Apr 1996,ODI # 1094
11,28,21,0,0,52.38,8,caught,2,,v South Africa,Sharjah,14 Apr 1996,ODI # 1097
22,21,15,3,0,146.66,6,not out,1,,v England,Manchester,26 May 1996,ODI # 1104
7,-,4,0,0,175.00,6,not out,1,,v Sri Lanka,Colombo (RPS),28 Aug 1996,ODI # 1106
13,45,25,1,0,52.00,3,bowled,1,,v Australia,Colombo (SSC),6 Sep 1996,ODI # 1113
39,-,50,3,0,78.00,3,caught,2,,v Pakistan,Toronto,16 Sep 1996,ODI # 1115
90,-,114,6,0,78.94,3,bowled,1,,v Pakistan,Toronto,17 Sep 1996,ODI # 1116
46,-,93,3,0,49.46,3,caught,1,,v Pakistan,Toronto,18 Sep 1996,ODI # 1117
25,-,25,3,1,100.00,3,caught,2,,v Pakistan,Toronto,21 Sep 1996,ODI # 1118
20,-,39,0,0,51.28,3,caught,2,,v Pakistan,Toronto,23 Sep 1996,ODI # 1119
62,114,87,6,0,71.26,3,caught,2,,v South Africa,Hyderabad (Deccan),17 Oct 1996,ODI # 1127
6,18,13,1,0,46.15,3,lbw,2,,v Australia,Bengaluru,21 Oct 1996,ODI # 1129
0,1,1,0,0,0.00,3,caught,2,,v South Africa,Jaipur,23 Oct 1996,ODI # 1130
21,57,40,0,0,52.50,4,run out,1,,v South Africa,Rajkot,29 Oct 1996,ODI # 1132
56,-,68,3,0,82.35,5,caught,1,,v Australia,Mohali,3 Nov 1996,ODI # 1137
31,52,41,2,0,75.60,5,bowled,1,,v South Africa,Wankhede,6 Nov 1996,ODI # 1138
16,44,32,1,0,50.00,4,run out,1,,v South Africa,Wankhede,14 Dec 1996,ODI # 1151
8,26,22,0,0,36.36,5,bowled,2,,v South Africa,Bloemfontein,23 Jan 1997,ODI # 1167
23,56,43,2,0,53.48,5,run out,2,,v Zimbabwe,Paarl,27 Jan 1997,ODI # 1169
50,152,104,3,1,48.07,2,caught,1,,v South Africa,Gqeberha,2 Feb 1997,ODI # 1172
53,102,71,5,0,74.64,2,run out,1,,v South Africa,East London,4 Feb 1997,ODI # 1173
12,30,30,1,0,40.00,2,caught,1,,v Zimbabwe,Centurion,7 Feb 1997,ODI # 1174
17,54,27,0,0,62.96,4,bowled,2,,v Zimbabwe,Benoni,9 Feb 1997,ODI # 1175
33,68,70,3,0,47.14,3,caught,1,,v South Africa,Durban,12 Feb 1997,ODI # 1176
84,140,94,5,1,89.36,3,caught,2,,v South Africa,Durban,13 Feb 1997,ODI # 1177
17,60,44,2,0,38.63,3,caught,1,,v West Indies,Port of Spain,26 Apr 1997,ODI # 1200
74,111,105,6,0,70.47,3,bowled,2,,v West Indies,Kingstown,30 Apr 1997,ODI # 1202
30,77,61,4,0,49.18,3,caught,1,,v West Indies,Bridgetown,3 May 1997,ODI # 1203
21,48,31,3,0,67.74,3,not out,2,,v New Zealand,Bengaluru,14 May 1997,ODI # 1206
61,135,103,8,0,59.22,3,bowled,1,,v Sri Lanka,Wankhede,17 May 1997,ODI # 1207
107,199,116,10,0,92.24,3,caught,2,,v Pakistan,Chennai,21 May 1997,ODI # 1209
69,123,102,6,0,67.64,4,bowled,1,,v Sri Lanka,Colombo (RPS),18 Jul 1997,ODI # 1218
7,17,12,1,0,58.33,3,caught,1,,v Sri Lanka,Colombo (RPS),26 Jul 1997,ODI # 1222
1,5,1,0,0,100.00,4,run out,2,,v Sri Lanka,Colombo (RPS),17 Aug 1997,ODI # 1223
18,43,35,0,0,51.42,5,caught,1,,v Sri Lanka,Colombo (RPS),20 Aug 1997,ODI # 1224
78,100,79,9,0,98.73,4,caught,1,,v Sri Lanka,Colombo (SSC),23 Aug 1997,ODI # 1225
42,87,68,4,0,61.76,4,caught,2,,v Sri Lanka,Colombo (SSC),24 Aug 1997,ODI # 1226
23,41,41,0,0,56.09,3,caught,1,,v Pakistan,Toronto,13 Sep 1997,ODI # 1227
14,51,25,2,0,56.00,3,run out,2,,v Pakistan,Toronto,14 Sep 1997,ODI # 1228
25,112,79,0,0,31.64,3,caught,1,,v Pakistan,Toronto,18 Sep 1997,ODI # 1230
3,8,4,0,0,75.00,7,not out,1,,v Pakistan,Toronto,21 Sep 1997,ODI # 1232
50,109,81,2,0,61.72,5,bowled,1,,v Pakistan,Hyderabad (Sind),28 Sep 1997,ODI # 1233
31,48,45,1,0,68.88,3,bowled,2,,v West Indies,Sharjah,16 Dec 1997,ODI # 1264
5,31,22,0,0,22.72,5,caught,2,,v Bangladesh,Mohali,14 May 1998,ODI # 1328
49,89,62,4,0,79.03,3,bowled,2,,v Kenya,Bengaluru,20 May 1998,ODI # 1330
1,22,21,0,0,4.76,3,bowled,2,,v Bangladesh,Wankhede,25 May 1998,ODI # 1335
33,62,53,2,0,62.26,4,caught,2,,v Kenya,Gwalior,28 May 1998,ODI # 1336
4,16,10,1,0,40.00,4,caught,2,,v Pakistan,Toronto,12 Sep 1998,ODI # 1349
18,41,30,1,0,60.00,4,caught,2,,v Pakistan,Toronto,13 Sep 1998,ODI # 1350
9,30,30,0,0,30.00,5,bowled,2,,v Pakistan,Toronto,16 Sep 1998,ODI # 1351
1,4,1,0,0,100.00,6,run out,2,,v Pakistan,Toronto,19 Sep 1998,ODI # 1352
64,126,98,3,0,65.30,3,caught,2,,v Zimbabwe,Bulawayo,26 Sep 1998,ODI # 1354
28,52,42,1,0,66.66,5,caught,2,,v Zimbabwe,Harare,30 Sep 1998,ODI # 1356
48,92,80,3,0,60.00,4,run out,1,,v Australia,Dhaka,28 Oct 1998,ODI # 1360
20,75,54,1,0,37.03,4,caught,1,,v West Indies,Dhaka,31 Oct 1998,ODI # 1363
3,12,13,0,0,23.07,3,caught,2,,v Zimbabwe,Sharjah,11 Nov 1998,ODI # 1373
123,201,123,10,1,100.00,3,not out,1,,v New Zealand,Taupo,9 Jan 1999,ODI # 1378
38,97,65,4,0,58.46,3,caught,2,,v New Zealand,Napier,12 Jan 1999,ODI # 1381
68,95,71,5,1,95.77,3,caught,1,,v New Zealand,Wellington,14 Jan 1999,ODI # 1383
51,95,71,5,1,71.83,3,bowled,2,,v New Zealand,Auckland,16 Jan 1999,ODI # 1385
29,58,35,2,0,82.85,3,caught,2,,v New Zealand,Christchurch,19 Jan 1999,ODI # 1387
116,118,118,12,0,98.30,3,caught,1,,v Sri Lanka,Nagpur,22 Mar 1999,ODI # 1415
3,11,9,0,0,33.33,3,bowled,2,,v Pakistan,Jaipur,24 Mar 1999,ODI # 1417
17,29,15,3,0,113.33,3,caught,1,,v Sri Lanka,Pune,30 Mar 1999,ODI # 1426
0,3,3,0,0,0.00,3,caught,1,,v Pakistan,Mohali,1 Apr 1999,ODI # 1427
25,64,37,4,0,67.56,3,lbw,2,,v Pakistan,Bengaluru,4 Apr 1999,ODI # 1428
28,119,79,0,0,35.44,3,caught,2,,v Pakistan,Sharjah,8 Apr 1999,ODI # 1430
16,49,38,1,0,42.10,3,caught,1,,v England,Sharjah,9 Apr 1999,ODI # 1431
63,135,92,6,0,68.47,3,run out,1,,v England,Sharjah,11 Apr 1999,ODI # 1432
81,192,121,6,0,66.94,3,run out,2,,v Pakistan,Sharjah,13 Apr 1999,ODI # 1435
0,1,1,0,0,0.00,3,lbw,1,,v Pakistan,Sharjah,16 Apr 1999,ODI # 1437
54,103,75,5,0,72.00,3,bowled,1,,v South Africa,Hove,15 May 1999,ODI # 1444
13,23,14,2,0,92.85,3,caught,2,,v Zimbabwe,Leicester,19 May 1999,ODI # 1450
104,158,109,10,0,95.41,3,not out,1,,v Kenya,Bristol,23 May 1999,ODI # 1457
145,179,129,17,1,112.40,3,run out,1,,v Sri Lanka,Taunton,26 May 1999,ODI # 1463
53,116,82,6,0,64.63,3,caught,1,,v England,Birmingham,29 May 1999,ODI # 1467
2,8,6,0,0,33.33,3,caught,2,,v Australia,The Oval,4 Jun 1999,ODI # 1473
61,119,89,4,0,68.53,3,caught,1,,v Pakistan,Manchester,8 Jun 1999,ODI # 1476
29,45,35,5,0,82.85,3,caught,1,,v New Zealand,Nottingham,12 Jun 1999,ODI # 1480
5,25,11,0,0,45.45,3,caught,1,,v Australia,Galle,23 Aug 1999,ODI # 1486
22,36,26,1,0,84.61,3,caught,1,,v Sri Lanka,Colombo (RPS),25 Aug 1999,ODI # 1487
0,2,2,0,0,0.00,4,caught,2,,v Australia,Colombo (SSC),28 Aug 1999,ODI # 1489
13,43,39,0,0,33.33,3,caught,1,,v Sri Lanka,Colombo (SSC),29 Aug 1999,ODI # 1490
12,17,15,3,0,80.00,3,caught,1,,v Zimbabwe,Singapore,4 Sep 1999,ODI # 1493
39,80,49,3,0,79.59,3,caught,2,,v West Indies,Singapore,5 Sep 1999,ODI # 1494
29,71,58,4,0,50.00,3,caught,1,,v West Indies,Singapore,7 Sep 1999,ODI # 1495
103,-,124,8,2,83.06,3,not out,1,,v West Indies,Singapore,8 Sep 1999,ODI # 1496
5,-,14,1,0,35.71,3,caught,2,,v West Indies,Toronto,11 Sep 1999,ODI # 1497
16,-,59,1,0,27.11,3,lbw,2,,v West Indies,Toronto,12 Sep 1999,ODI # 1498
77,-,87,6,2,88.50,5,bowled,1,,v West Indies,Toronto,14 Sep 1999,ODI # 1499
9,20,19,2,0,47.36,4,not out,2,,v South Africa,Nairobi (Gym),26 Sep 1999,ODI # 1504
30,-,56,2,0,53.57,3,caught,1,,v Kenya,Nairobi (Gym),29 Sep 1999,ODI # 1506
12,23,15,1,0,80.00,4,lbw,1,,v Zimbabwe,Nairobi (Gym),1 Oct 1999,ODI # 1508
30,88,65,3,0,46.15,3,caught,2,,v South Africa,Nairobi (Gym),3 Oct 1999,ODI # 1509
39,56,43,3,0,90.69,3,lbw,2,,v New Zealand,Rajkot,5 Nov 1999,ODI # 1522
153,196,153,15,2,100.00,3,caught,1,,v New Zealand,Hyderabad (Deccan),8 Nov 1999,ODI # 1523
14,51,31,1,0,45.16,3,caught,1,,v New Zealand,Gwalior,11 Nov 1999,ODI # 1524
5,7,7,0,0,71.42,3,caught,2,,v New Zealand,Guwahati,14 Nov 1999,ODI # 1525
29,67,53,3,2,54.71,3,not out,2,,v New Zealand,Delhi,17 Nov 1999,ODI # 1526
8,32,18,1,0,44.44,3,caught,1,,v Pakistan,Brisbane,10 Jan 2000,ODI # 1537
60,149,85,2,0,70.58,5,caught,2,,v Australia,Melbourne,12 Jan 2000,ODI # 1539
22,109,70,2,0,31.42,4,lbw,1,,v Australia,Sydney,14 Jan 2000,ODI # 1540
15,41,31,1,0,48.38,4,lbw,2,,v Pakistan,Hobart,21 Jan 2000,ODI # 1543
32,81,58,1,0,55.17,3,caught,1,,v Pakistan,Adelaide,25 Jan 2000,ODI # 1547
63,97,82,10,0,76.82,3,caught,2,,v Australia,Adelaide,26 Jan 2000,ODI # 1548
3,26,14,0,0,21.42,3,caught,2,,v Pakistan,Perth,28 Jan 2000,ODI # 1550
65,145,106,6,0,61.32,3,caught,1,,v Australia,Perth,30 Jan 2000,ODI # 1552
17,19,21,2,0,80.95,3,caught,2,,v South Africa,Kochi,9 Mar 2000,ODI # 1572
36,81,59,4,0,61.01,4,caught,2,,v South Africa,Jamshedpur,12 Mar 2000,ODI # 1573
73,172,109,4,1,66.97,3,run out,1,,v South Africa,Faridabad,15 Mar 2000,ODI # 1574
3,17,10,0,0,30.00,3,caught,2,,v South Africa,Vadodara,17 Mar 2000,ODI # 1575
79,103,70,11,0,112.85,3,run out,2,,v South Africa,Nagpur,19 Mar 2000,ODI # 1576
8,40,25,0,0,32.00,3,bowled,1,,v South Africa,Sharjah,22 Mar 2000,ODI # 1577
26,109,70,3,0,37.14,3,caught,2,,v Pakistan,Sharjah,23 Mar 2000,ODI # 1578
29,72,46,3,0,63.04,3,caught,2,,v Pakistan,Sharjah,26 Mar 2000,ODI # 1580
26,60,60,2,0,43.33,5,caught,1,,v South Africa,Sharjah,27 Mar 2000,ODI # 1581
24,64,44,3,0,54.54,4,caught,2,,v Sri Lanka,Dhaka,1 Jun 2000,ODI # 1598
26,34,32,3,0,81.25,3,lbw,2,,v Pakistan,Dhaka,3 Jun 2000,ODI # 1600
68,127,87,7,0,78.16,3,not out,2,,v Kenya,Nairobi (Gym),3 Oct 2000,ODI # 1630
9,32,18,2,0,50.00,3,caught,1,,v Australia,Nairobi (Gym),7 Oct 2000,ODI # 1633
58,106,71,9,0,81.69,3,caught,1,,v South Africa,Nairobi (Gym),13 Oct 2000,ODI # 1638
22,52,35,1,0,62.85,3,run out,1,,v New Zealand,Nairobi (Gym),15 Oct 2000,ODI # 1639
16,-,21,2,0,76.19,3,run out,1,,v Sri Lanka,Sharjah,20 Oct 2000,ODI # 1640
85,-,121,4,0,70.24,1,caught,1,,v Zimbabwe,Sharjah,22 Oct 2000,ODI # 1644
9,28,16,1,0,56.25,3,run out,2,,v Zimbabwe,Cuttack,2 Dec 2000,ODI # 1656
62,146,88,3,0,70.45,3,run out,1,,v Zimbabwe,Ahmedabad,5 Dec 2000,ODI # 1657
30,87,53,3,0,56.60,3,caught,1,,v Zimbabwe,Jodhpur,8 Dec 2000,ODI # 1658
6,18,16,1,0,37.50,3,caught,1,,v Zimbabwe,Rajkot,14 Dec 2000,ODI # 1660
80,144,84,3,1,95.23,4,caught,1,,v Australia,Bengaluru,25 Mar 2001,ODI # 1696
13,27,23,2,0,56.52,4,run out,1,,v Australia,Pune,28 Mar 2001,ODI # 1698
15,30,34,3,0,44.11,1,caught,1,,v Australia,Indore,31 Mar 2001,ODI # 1699
7,23,10,0,0,70.00,4,caught,2,,v Australia,Visakhapatnam,3 Apr 2001,ODI # 1700
31,65,45,1,0,68.88,4,caught,1,,v Australia,Margao,6 Apr 2001,ODI # 1701
72,103,64,7,0,112.50,4,not out,2,,v Zimbabwe,Bulawayo,27 Jun 2001,ODI # 1730
4,5,5,0,0,80.00,4,stumped,2,,v West Indies,Bulawayo,30 Jun 2001,ODI # 1731
15,28,18,0,0,83.33,5,bowled,2,,v West Indies,Harare,4 Jul 2001,ODI # 1733
30,43,32,6,0,93.75,4,bowled,2,,v West Indies,Harare,7 Jul 2001,ODI # 1734
15,48,36,1,0,41.66,4,caught,2,,v New Zealand,Colombo (RPS),20 Jul 2001,ODI # 1736
49,126,81,0,0,60.49,6,not out,2,,v Sri Lanka,Colombo (RPS),22 Jul 2001,ODI # 1737
27,111,57,1,0,47.36,4,bowled,2,,v New Zealand,Colombo (RPS),26 Jul 2001,ODI # 1739
43,86,79,3,0,54.43,4,caught,2,,v Sri Lanka,Colombo (RPS),28 Jul 2001,ODI # 1740
47,122,88,3,0,53.40,4,stumped,1,,v Sri Lanka,Colombo (SSC),1 Aug 2001,ODI # 1742
57,76,56,6,0,101.78,4,not out,2,,v New Zealand,Colombo (SSC),2 Aug 2001,ODI # 1743
21,42,36,2,0,58.33,4,bowled,2,,v Sri Lanka,Colombo (RPS),5 Aug 2001,ODI # 1744
1,12,7,0,0,14.28,3,caught,1,,v South Africa,Johannesburg,5 Oct 2001,ODI # 1752
54,107,79,5,0,68.35,4,caught,1,,v South Africa,Centurion,10 Oct 2001,ODI # 1757
11,25,23,2,0,47.82,4,caught,2,,v Kenya,Gqeberha,17 Oct 2001,ODI # 1761
71,122,87,7,0,81.60,4,not out,2,,v South Africa,East London,19 Oct 2001,ODI # 1762
77,143,102,6,0,75.49,4,caught,1,,v South Africa,Durban,26 Oct 2001,ODI # 1766
23,43,34,2,0,67.64,4,lbw,1,,v Zimbabwe,Faridabad,7 Mar 2002,ODI # 1814
66,82,59,6,0,111.86,4,not out,1,,v Zimbabwe,Mohali,10 Mar 2002,ODI # 1815
6,16,11,1,0,54.54,4,caught,1,,v Zimbabwe,Kochi,13 Mar 2002,ODI # 1816
32,81,56,0,0,57.14,4,bowled,2,,v Zimbabwe,Hyderabad (Deccan),16 Mar 2002,ODI # 1817
26,34,33,1,0,78.78,4,bowled,1,,v Zimbabwe,Guwahati,19 Mar 2002,ODI # 1818
9,14,16,2,0,56.25,5,not out,2,,v West Indies,Bridgetown,29 May 2002,ODI # 1836
28,50,36,2,1,77.77,6,bowled,1,,v West Indies,Port of Spain,1 Jun 2002,ODI # 1837
